Iryna_Buhrii 20-30 female
грн				грн 			noun:f:v_naz:nv:abbr  -30
гурти			гурт 			noun:p:v_naz  30
дайош			дайош 			excl:bad  -20
дали			дати 			verb:past:p:perf  0
дали			дати 			verb:past:p:perf  0
демократичні 	демократичний 	adj:p:v_naz:compb  40
десертів		десерт 			noun:p:v_rod  40
диво			диво 	 		noun:n:v_naz  40
дизайн			дизайн 			noun:m:v_naz  40
для				для 			prep:rv_rod  0
дня				день 			noun:m:v_rod  0
до				до 				prep:rv_rod  0
до				до 				prep:rv_rod  0
до				до 				prep:rv_rod  0
добре			добре 			adv  40
добре			добре 	 		adv  40
довгий			довгий 			adj:m:v_naz:compb  40
додому			додому 			adv  40
донечці			донечка 		noun:f:v_dav:anim  40
дописали		дописати 		verb:past:p:perf  0
досить			досить 			adv  0
доставку		доставка 		noun:f:v_zna  0
доставку		доставка 		noun:f:v_zna  10
друзями			друзі 			noun:p:v_oru:anim  40
дуже			дуже 			adv  0
дуже			дуже 	 		adv  0
дуже			дуже 	 		adv  0
дуже			дуже 	 		adv  0
дуже			дуже 	 		adv  0
дівчина			дівчина 		noun:f:v_naz:anim  0
дійсно			дійсно			adv  0
дійти			дійти 			verb:inf:perf  0
діє				діяти 			verb:pres:s:3:imperf  0
еспресо			еспресо 		noun:n:v_zna:nv  50
ж				ж 				conj:coord  0
жахлива			жахливий		adj:f:v_naz:compb  -50
жахлива			жахливий 		adj:f:v_naz:compb  -50
жива			живий 			adj:f:v_naz:compb  20
живі			живий 			adj:p:v_naz:compb  20
жодного			жодний 			adj:m:v_rod:&pron  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
з'явилася		з'явитися 		verb:rev:past:f:perf  0
за				за 				prep:rv_rod:rv_zna:rv_oru  0
за				за 				prep:rv_rod:rv_zna:rv_oru  0
за				за 				prep:rv_rod:rv_zna:rv_oru 0
за				за 				prep:rv_rod:rv_zna:rv_oru 0
забавах			забава 			noun:p:v_mis  30
завжди			завжди			adv:&pron:gen  0
завжди			завжди 			adv:&pron:gen  0
завжди			завжди 			adv:&pron:gen  0
завжди			завжди 			adv:&pron:gen 0
завітати		завітати 		verb:inf:perf  10
задоволення		задоволення		noun:n:v_naz  20
заклад			заклад 			noun:m:v_naz 	 20
заклад			заклад 			noun:m:v_naz  20
заклад			заклад 			noun:m:v_naz  20
закладу			заклад			noun:m:v_dav  20
закладу			заклад 			noun:m:v_dav  20
закладів		заклад 			noun:p:v_rod  20
закрила			закрити 		verb:past:f:perf  -10
закуповую		закуповувати 	verb:pres:s:1:imperf  10
закінчились		закінчитися 	verb:rev:past:p:perf  -10
зал	зал зала 					noun:m:v_naz  0
замало			замало			adv  -10
замовили		замовити 		verb:past:p:perf  10
замовлення		замовлення 		noun:n:v_naz  10
замовлення		замовлення 		noun:n:v_naz  10
замовляв		замовляти 		verb:past:m:imperf  10
замовляйте		замовляти 		verb:impr:p:2:imperf  10
замовляйте		замовляти 		verb:impr:p:2:imperf  10
зараз	зараз 	зараза 			adv:&pron:dem  0
заходять		заходити 		verb:pres:p:3:imperf  0
захотіли		захотіти 		verb:unknown  20
звела			звести 			verb:past:f:perf  0
здається		здаватися 		verb:rev:pres:s:3:imperf  0
здивована		здивований 		adjp:pasv:past:f:v_naz  20
зимовий			зимовий 		adj:m:v_naz  -10
зустріч			зустріч 		noun:f:v_naz  10
зі				зі 				prep:rv_rod:rv_zna:rv_oru 0
карткою			картка 			noun:f:v_oru  0
каші			каша 			noun:f:v_dav  0
клас			клас 			noun:m:v_naz  -10
класна			класний 		adj:f:v_naz  40
класне			класний 		adj:n:v_naz  40
класно			класно 			adv  40
класно			класно 			adv  40
клієнта			клієнт 			noun:m:v_rod:anim  -40
кнопку			кнопка 			noun:f:v_zna  0
кнопочка		кнопочка 		noun:f:v_naz  0
коктейлі		коктейль 		noun:m:v_mis  0
коктейлі		коктейль 		noun:p:v_naz  0
коли			коли 			conj:subord  0
коли			коли 		 	adv:&pron:int:rel  0
компанія		компанія 		noun:f:v_naz  10
компанією		компанія 		noun:f:v_oru  10
конфлікту		конфлікт 		noun:m:v_dav  -50
крем-суп		крем-суп 		noun:m:v_naz  10
крута			крутий 			adj:f:v_naz:compb  40
курсі			курс 			noun:m:v_mis  0
кухня			кухня 			noun:f:v_naz  10
кухня			кухня 			noun:f:v_naz  10
кілька			кілька 			numr:p:v_naz:&pron:ind  0
людина			людина 			noun:f:v_naz:anim  -10
м'ясо			м'ясо 			noun:n:v_naz  -20
мало			мало 			adv:compb  -20
мамі			мама 			noun:f:v_dav:anim  50
манної			манний 			adj:f:v_rod  10
має				мати 	 		verb:pres:s:3:imperf  10
мене			я 				pron:pers:s:1:v_zna:anim 0
мені			я 				pron:pers:s:1:v_dav:anim  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
можна			можна 			predic  0
можуть			могти 			verb:unknown  0
молодець		молодець 		noun:m:v_naz:anim  50
молодці			молодець  		noun:p:v_kly:anim  50
морального		моральний 		adj:m:v_rod  10
музика			музика 			noun:f:v_naz  30
музика			музика 			noun:f:v_naz  30
музика			музика 			noun:f:v_naz  30
музика			музика 			noun:f:v_naz  30
музика			музика 			noun:f:v_naz  30
музика			музика 			noun:f:v_naz  30
музики			музика 			noun:f:v_rod  30
музики			музика 			noun:p:v_zna  30
музикою			музика 			noun:f:v_oru  30
місце			місце 			noun:n:v_naz  0
місце			місце 			noun:n:v_naz  0
місце			місце 			noun:n:v_naz  0
місце			місце 			noun:n:v_naz  0
на				на				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
на				на 				prep:rv_zna:rv_mis  0
надзвичайно		надзвичайно 	adv  0
надурити		надурити 		verb:inf:perf  -50
найвищому		високий 		adj:m:v_dav:super  20
наполягати		наполягати 		verb:inf:imperf  20
напоями			напій 			noun:p:v_oru  20
наприклад		наприклад 		insert  0
натиснув		натиснути 		verb:past:m:perf  0
наче			наче 			conj:subord  0
нашої			наш 			adj:f:v_rod:&pron:pos  0
нашу			наш 			adj:f:v_zna:&pron:pos  0
не				не				part  0
не				не				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
не				не 				part  0
негативними		негативний 		adj:p:v_oru:compb  -50
нема			нема			predic  0
неодноразово	неодноразово 	adv  0
непогані		непоганий 		adj:p:v_naz  20
неприємні		неприємний 		adj:p:v_naz:compb  20
них				вони 			pron:pers:p:3:v_mis:anim  0
новий			новий 			adj:m:v_naz:compb  10
номера			номер 			noun:m:v_rod  0
нормальні		нормальний 		adj:p:v_naz  20
ночі			ніч 			noun:p:v_zna  0
нуль			нуль 			noun:m:v_naz  0
ніколи			ніколи 			adv:&pron:neg  0
нічого			нічого 			adv  0
нічого			нічого  		adv  0
ніяк			ніяк 			adv:&pron:neg  0
обов'язково		обов'язково 	adv  0
обслуговування	обслуговування 	noun:n:v_naz  0
обслуговуючий	обслуговуючий	adjp:actv:pres:m:v_naz:bad 0
обслуговуючого	обслуговуючий 	adjp:actv:pres:m:v_rod:bad  0
один			один 			numr:m:v_naz  0
одразу			одразу 			adv  0
олії			олія 			noun:f:v_dav  0
оскільки		оскільки 		conj:subord  0
особливо		особливо 		adv 	 0
особливо		особливо 		adv 	 0
останок			останок 		noun:m:v_naz  0
отримайте		отримати 		verb:impr:p:2:perf  0
отримала		отримати 		verb:past:f:perf  0
оформлений		оформлений 		adjp:pasv:past:m:v_naz 0
офіціанти		офіціант 		noun:p:v_kly:anim  -10
офіціанти		офіціант 		noun:p:v_kly:anim  -10
очі				око 			noun:p:v_naz  0
очікувала		очікувати 		verb:past:f:imperf  0
п'яні			п'яний 			adj:p:v_naz  -50
п'ятницю		п'ятниця 		noun:f:v_zna  50
пам'яті			пам'ять 		noun:f:v_dav  20
персонал		персонал 		noun:m:v_naz  -10
персоналом		персонал 		noun:m:v_oru  -10
персоналу		персонал 		noun:m:v_dav  -10
перший			перший 			adj:m:v_naz  0
період			період 			noun:m:v_naz  0
пес				пес 			noun:m:v_naz:anim  0
пива			пиво 			noun:n:v_rod  10
пивний			пивний 			adj:m:v_naz  10
пиво			пиво 			noun:n:v_naz  10
пиво-каву		пиво-кава 		noun:n:v_zna  10
пивом			пиво			noun:n:v_oru  10
питаннях		питання 		noun:p:v_mis  0
планую			планувати 		verb:pres:s:1:imperf  0
платити			платити 		verb:inf:imperf  0
плюсів			плюс 			noun:p:v_rod  10
по				по 				prep:rv_mis:rv_zna  10
по				по 				prep:rv_mis:rv_zna  10
поганий			поганий 		adj:m:v_naz:compb  10
погано			погано 			adv:compb  -30
подарунок		подарунок 		noun:m:v_naz  20
подзвонили		подзвонити 		verb:past:p:perf  0
позитивна		позитивний 		adj:f:v_naz:compb  50
помиляється		помилятися 		verb:rev:pres:s:3:imperf  -30
попередньо		попередньо 		adv  0
порція			порція 			noun:f:v_naz  0
порядності		порядність 		noun:f:v_dav  20
поступки		поступка 		noun:f:v_rod  20
постійно		постійно 		adv  0
потрібно		потрібно 		adv:compb  0
появу			поява 			noun:f:v_zna  0
правда			правда 			insert  10
працює			працювати 		verb:pres:s:3:imperf  10
при				приперти 		prep:rv_mis  0
привезли		привезти 		verb:past:p:perf  0
привітна		привітний 		adj:f:v_naz:compb  30
прийняти		прийняти 		verb:inf:perf  0
принесли		принести 		verb:past:p:perf  0
приносять		приносити 		verb:pres:p:3:imperf  0
приємним		приємний 		adj:m:v_oru:compb  0
про				про 			prep:rv_zna  0
провести		провести 		verb:inf:perf  0
провину			провина 		noun:f:v_zna  0
пропозиції		пропозиція 		noun:p:v_zna  10
просто			просто 			adv:compb  30
просто			просто 			adv:compb  30
просто			просто 			adv:compb  30
просто			просто 			adv:compb  30
проханнях		прохання 		noun:p:v_mis  0
пів				пів 			noun:f:v_naz:nv:np  0
під				під 			prep:rv_zna:rv_oru  0
під				під 			prep:rv_zna:rv_oru  0
підкопчені		підкопчений		adjp:pasv:past:p:v_naz  10
підлаштовується	підлаштовуватися verb:rev:pres:s:3:imperf  10
пізно			пізно 			adv  -10
пішла			піти 			verb:past:f:perf  -10
раз				раз 			noun:m:v_zna  0
разу			раз 			noun:m:v_dav  0
рахунок			рахунок 		noun:m:v_naz  -10
рахунок			рахунок 		noun:m:v_naz  0
рекомендую		рекомендувати 	verb:futr:s:1:perf  30
ресторану		ресторан 		noun:m:v_dav  30
ресторані		ресторан 		noun:m:v_mis  30
ресторані		ресторан 		noun:m:v_mis  30
роботи			робота 			noun:p:v_naz  -10
розрахуватися	розрахуватися 	verb:rev:inf:perf  -10
розташування	розташування 	noun:n:v_naz  0
рокер			рокер			noun:m:v_naz:anim  50
років			рік 			noun:p:v_rod  0
рочок			рочок 			noun:m:v_naz  0
рівні			рівень 			noun:f:v_mis  0
рівні			рівень 			noun:m:v_mis  0
самі			сам 			adj:p:v_naz  0
самій		 	самий 			adj:f:v_dav  0
святкували		святкувати 		verb:past:p:imperf  40
святкувати		святкувати 		verb:inf:imperf  40
сендвіча		сендвіч 		noun:m:v_rod  40
сендвічі		сендвіч 		noun:p:v_zna  40
серветки		серветка 		noun:f:v_rod  0
сервіс			сервіс 			noun:m:v_naz  10
серпня			серпень 		noun:m:v_rod  10
сирний			сирний 			adj:m:v_naz  10
сирний			сирний 			adj:m:v_naz  10
скажу			сказати  		verb:futr:s:1:perf 	 0
сказати			сказати 		verb:inf:perf  0
смажать			смажити 		verb:pres:p:3:imperf  -10
смачна			смачний 		adj:f:v_naz:compb  30
смачна			смачний 		adj:f:v_naz:compb  30
смачна			смачний 		adj:f:v_naz:compb  30
смачне			смачний 		adj:n:v_naz:compb  30
смачними		смачний 		adj:p:v_oru:compb  30
смачні			смачний 		adj:p:v_naz:compb  30
смачні			смачний 		adj:p:v_naz:compb  30
смачніших		смачний 		adj:p:v_zna:compr  30
спеціально		спеціально 		adv  30
сподобалось		сподобатися		verb:rev:past:n:perf  20
столах			стіл 			noun:p:v_mis  0
сторони			сторона 		noun:f:v_rod  0
сторону			сторона			noun:f:v_zna  0
сторону			сторона 		noun:f:v_zna  0
страв			страва 			noun:p:v_rod  0
стравами		страва 			noun:p:v_oru  0
страву			страва 			noun:f:v_zna  0
стільки			стільки 		adv  0
суп				суп 			noun:m:v_naz  0
сучасної		сучасний 		adj:f:v_rod:compb  10
сюди			сюди 			adv:&pron:dem  0
сім'єю			сім'я 			noun:f:v_oru  50
т				т 				noun:f:v_dav:nv:abbr  0
та				та 				conj:coord  0
та				та 				conj:coord  0
та				та 				conj:coord  0
та				та 				conj:coord  0
так				так 			adv:&pron:dem  0
так				так 			adv:&pron:dem  0
так				так 			conj:coord:subord  0
такий			такий 			adj:m:v_naz:&pron:def  0
такого			такий 			adj:m:v_rod:&pron:def  0
також			також 			adv  0
також			також 			adv  0
творчості		творчість 		noun:f:v_dav 20
те				той 			adj:n:v_naz:&pron:dem 0
теж				теж 			part  0
тематичних		тематичний 		adj:p:v_zna  0
термінал		термінал 		noun:m:v_naz  0
терміналом		термінал 		noun:m:v_oru  0
то				то 				conj:subord  0
того			той 			adj:m:v_rod:&pron:dem 0
тости			тост 			noun:p:v_naz  0
треба			треба 			predic  0
треба			треба 			predic  0
треба			треба 			predic  0
тримати			тримати 		verb:inf:imperf  0
тур				тур 			noun:m:v_naz  20
тут				тут 			adv:&pron:dem  0
тут				тут 			adv:&pron:dem  0
тільки			тільки 			conj:subord  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
усе				усе 			adv:v-u  0
усе				усе 	 		adv:v-u  0
усміхнена		усміхнений 		adj:f:v_naz:v-u  50
усім			увесь 			adj:m:v_mis:&pron:dem  0
хвилює			хвилювати 		verb:pres:s:3:imperf  10
хлопці			хлопець 		noun:p:v_kly:anim  10
ходжу			ходити 			verb:pres:s:1:imperf  0
хороші			хороший 		adj:p:v_naz:compb  40
хотіли			хотіти 			verb:unknown  10
хоча			хоча 			conj:subord  0
хоча			хоча 			conj:subord  0
хочеш			хотіти 			verb:unknown  10
хто				хто 			conj:subord  0
це				цей 			adj:n:v_naz:&pron:dem  0
центр			центр 			noun:m:v_naz  0
цього			цей 			adj:m:v_rod:&pron:dem  0
цій				цей 			adj:f:v_mis:&pron:dem  0
цілодобовий		цілодобовий 	adj:m:v_naz  10
ціни		 	ціна 			noun:f:v_rod  0
ціни		 	ціна 			verb:impr:s:2:imperf  0
час				час 			noun:m:v_naz 	 0
час				час 			noun:m:v_naz  0
чекаємо			чекати			verb:pres:p:1:imperf  0
через			через 			prep:rv_zna  0
чесності		чесність 		noun:f:v_dav  30
чудова			чудовий 		adj:f:v_naz:compb  30
чуєте			чути 			verb:pres:p:2:imperf  0
шалений			шалений 		adj:m:v_naz  20
швидко			швидко 			adv:compb  20
шикарний		шикарний 		adj:m:v_naz  20
шикарно			шикарно 		adv  20
штук			штука 			noun:p:v_rod  20
ще				ще 				adv  0
що				що 				conj:subord  0
що				що 				conj:subord  0
що				що 				conj:subord  0
що				що 				conj:subord  0
що				що 				conj:subord  0
що				що 				conj:subord  0
що				що 				conj:subord  0
щоб				щоб 			conj:subord  0
щось			щось 			pron:ind:n:v_zna  0
я				я 				pron:pers:s:1:v_naz:anim  0
я				я 				pron:pers:s:1:v_naz:anim  0
я				я 				pron:pers:s:1:v_naz:anim 0
я				я 				ron:pers:s:1:v_naz:anim  0
як				як 				adv:&pron:int:rel  0
якби			якби 			conj:subord  0
якби			якби 			conj:subord  0
який			який 			adj:m:v_naz:&pron:int:rel:def 0
якому			який 			adj:m:v_dav:&pron:int:rel:def 0
яку				який 			adj:f:v_zna:&pron:int:rel:def  0
якщо			якщо 			conj:subord  0
якщо			якщо 			conj:subord  0
якісь			якийсь 			adj:p:v_naz:&pron:ind  0
єгермейстер		єгермейстер 	noun:m:v_naz:anim  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				conj:coord  10
і				і 				part  10
іде				іти 			verb:pres:s:3:imperf  10
ідеально		ідеально 		adv  30
ідете			іти 			verb:pres:p:2:imperf  0
інтер'єр		інтер'єр 		noun:m:v_naz  10
інтер'єр		інтер'єр 		noun:m:v_naz  10
інтер'єр		інтер'єр 		noun:m:v_naz  10
їжа				їжа 			noun:f:v_naz  10
їжі				їжа 			noun:p:v_zna 10
їсти			їсти 			verb:inf:imperf  10
їх				вони 			pron:pers:p:3:v_rod:anim  0
її				вона			pron:pers:f:3:v_zna:anim 0
