Доброго	               adj:m:v_rod:compb 
Я	                   pron:pers:s:1:v_naz:anim 
в	                   prep:rv_mis:v-u 
жодному	               adj:m:v_dav:&pron 
разі	               noun:m:v_mis 
не	                   part 
виправдовуюсь          verb:rev:pres:s:1:imperf 
просто	               adv:compb 
хочеться	           verb:unknown 
пояснити	           verb:inf:perf 
ситуацію	           noun:f:v_zna 
котра	               adj:f:v_naz:&pron:int 
склалась	           verb:rev:past:f:perf 
Справа	               noun:f:v_naz 
в	                   prep:rv_mis:v-u 
тому	               adj:n:v_dav:&pron:dem 
що	                   conj:subord 
всі	                   adj:p:v_naz:&pron:dem 
ми	                   pron:pers:p:1:v_naz:anim 
живі	               adj:p:v_naz:compb 
люди	               noun:p:v_naz:anim 
і	                   conj:coord 
обслуговуючий	       adjp:actv:pres:m:v_naz:bad 
персонал	           noun:m:v_zna 
теж	                   adv 
не	                   part 
роботи	               noun:p:v_naz  
на	                   prep:rv_mis 
наш	                   adj:m:v_zna:&pron:pos 
превеликий	           adj:m:v_zna 
жаль	               noun:m:v_zna 
двоє	               numr:p:v_naz 
кухарів	               noun:p:v_rod:anim  
та	                   conj:coord 
двоє	               numr:p:v_naz  numr:p:v_zna 
офіціантів	           noun:p:v_rod:anim  
у	                   prep:rv_mis 
цей	                   adj:m:v_naz:&pron:dem 
день	               noun:m:v_zna 
були	               verb:past:p:imperf 
відсутні	           adj:p:v_naz 
за	                   prep:rv_oru 
станом                 noun:m:v_oru 
здоров'я	           noun:n:v_zna 
всі	                   adj:p:v_naz:&pron:dem 
ми	                   pron:pers:p:1:v_naz:anim 
деколи	               adv:&pron:ind 
хворіємо	           verb:pres:p:1:imperf 
Ситуація	           noun:f:v_naz 
на	                   prep:rv_mis 
ринку	               noun:m:v_mis 
праці	               noun:f:v_rod   
у	                   prep:rv_mis:v-u 
наш	                   adj:m:v_zna:&pron:pos 
час	                   noun:m:v_zna 
далеко	               adv:compb 
не	                   part 
втішна	               adj:f:v_naz:v-u 
і	                   conj:coord 
бажаючих	           adjp:actv:pres:p:v_rod:bad 
працювати	           verb:inf:imperf 
на жаль                part prep:rv_zna:rv_mis 
не	                   part 
так                    part 
багато	               adv  
тому                   conj:subord 
оперативно	           adv:compb 
знайти	               verb:inf:perf 
заміну	               noun:f:v_zna 
було	               verb:past:n:imperf 
просто	               adv:compb part prep:rv_rod 
нереально	           adv 
У	                   prep:rv_mis:v-u 
неділю	               noun:f:v_zna 
був	                   verb:past:m:imperf 
лише	               conj:subord  part 
третій	               adj:m:v_zna 
робочий	               adj:m:v_zna 
день	               noun:m:v_zna 
з	                   prep:rv_rod 
моменту	               noun:m:v_rod  
відкриття	           noun:n:v_rod 
даного	               adjp:pasv:past:m:v_rod 
закладу	               noun:m:v_rod 
і	                   conj:coord 
відверто	           adv:compb 
важко	               adv:compb 
було	               verb:past:n:imperf 
спрогнозувати	       verb:inf:perf 
кількість	           noun:f:v_zna 
відвідувачів	       noun:p:v_rod:anim 
 відтак	               adv 
просто	               adv:compb 
фізично	               adv 
було	               verb:past:n:imperf 
важко	               adv:compb 
приділити	           verb:inf:perf 
увагу	               noun:f:v_zna 
всім	               adj:p:v_dav:&pron:dem 
клієнтам	           noun:p:v_dav:anim 
належним               adj:m:v_oru 
чином	               noun:m:v_oru
належним               adv 
у	                   prep:rv_mis:v-u 
зв'язку	               noun:m:v_dav 
з	                   prep:rv_oru 
неповним	           adj:m:v_oru 
штабом	               noun:m:v_oru 
персоналу	           noun:m:v_rod 
Щодо	               prep:rv_rod 
пересушеної	           adjp:pasv:past:f:v_rod 
піци	               noun:f:v_rod 
річ	                   noun:f:v_zna 
у	                   prep:rv_mis:v-u 
тім	                   adj:n:v_mis:&pron:dem 
що	                   conj:subord 
обладнання	           noun:n:v_zna 
а	                   conj:coord 
саме                   part
піч	                   noun:f:v_zna 
для	                   prep:rv_rod 
виготовлення	       noun:n:v_zna 
піци	               noun:f:v_rod 
абсолютно	           adv 
нове	               adj:n:v_zna:compb 
яке	                   adj:n:v_zna:&pron:int:rel:def
не	                   part 
було	               verb:past:n:imperf 
у	                   prep:rv_mis:v-u 
експлуатації	       noun:f:v_mis 
раніше	               adv 
тому	               conj:subord 
виникали	           verb:past:p:imperf 
певні	               adj:p:v_zna:compb 
труднощі	           noun:p:v_zna 
у	                   prep:rv_mis:v-u 
відрегулюванні	       noun:n:v_mis 
відповідної	           adj:f:v_rod:compb 
температури	           noun:f:v_rod 
для	                   prep:rv_rod 
ідеальної	           adj:f:v_rod 
випічки	               noun:f:v_rod 
За	                   prep:rv_zna
це	                   adj:n:v_zna:&pron:dem 
теж	                   conj 
ми	                   pron:pers:p:1:v_naz:anim
вибачаємось	           verb:rev:pres:p:1:imperf 
У	                   prep:rv_mis:v-u 
будь-якому	           adj:m:v_mis:&pron:ind 
випадку	               noun:m:v_mis 
спасибі	               excl 
за	                   prep:rv_zna 
критику	               noun:f:v_zna 
це	                   adj:n:v_zna:&pron:dem 
завжди	               adv:&pron:gen 
корисно	               adv:compb 
Що	                   conj:subord 
тут	                   adv:&pron:dem 
можна	               predic 
сказати	               verb:inf:perf 
Скільки	               numr:p:v_naz:&pron:ind
людей	               noun:p:v_rod:anim 
стільки	               numr:p:v_naz:&pron:ind
й	                   conj:coord 
думок	               noun:p:v_rod 
Комусь	               pron:ind:v_dav:anim 
подобаються	           verb:rev:pres:p:3:imperf
заклади	               noun:p:v_zna 
локалю	 
комусь	               pron:ind:v_dav:anim 
ні	                   part 
судити	               verb:inf:imperf 
нікого	               pron:neg:v_rod:anim 
не	                   part 
треба	               predic 
тому	               conj:subord 
що	                   conj:subord 
на	                   prep:rv_zna 
колір	               noun:m:v_zna 
і	                   conj:coord 
смак	               noun:m:v_zna 
товариш	               noun:m:v_naz:anim 
не	                   part 
всяк	               adj:m:v_naz adv:rare 
Що	                   conj:subord 
скажу	               verb:futr:s:1:perf 
з	                   prep:rv_rod
власного	           adj:m:v_rod 
досвіду	               noun:m:v_rod 
те	                   adj:n:v_zna:&pron:dem 
що	                   conj:subord 
цей	                   adj:m:v_zna:&pron:dem 
заклад	               noun:m:v_zna
не	                   part 
дуже	               adv 
до	                   prep:rv_rod 
вподоби	               noun:f:v_rod:v-u 
мені	               pron:pers:s:1:v_dav:anim 
і	                   conj:coord 
моїй	               adj:f:v_dav:&pron:pos 
сім'ї                  noun:f:v_dav
Ми	                   pron:pers:p:1:v_naz:anim 
відпочивали	           verb:past:p:imperf 
тут	                   adv:&pron:dem 
неодноразово	       adv 
адже	               conj:subord 
судити	               verb:inf:imperf 
про	                   prep:rv_zna 
заклад	               noun:m:v_zna
за	                   prep:rv_oru
першим	               adj:n:v_oru  
враженням	           noun:n:v_oru 
досить	досить         adv 
упереджено	           adv 
і	                   conj:coord 
необ'єктивно	       adv 
але	                   conj:coord 
вкотре	               adv:v-u 
ми	                   pron:pers:p:1:v_naz:anim 
переконувались	       verb:rev:past:p:imperf 
що	                   conj:subord 
все	                   pron
ж	                   part 
він	                   pron:pers:m:3:v_naz:anim
не	                   part 
вартий	               adj:m:v_naz 
вищої	               adj:f:v_rod:compr 
оцінки	               noun:f:v_rod 
і	                   conj:coord 
похвали	               noun:f:v_rod 
Офіціанти	           noun:p:v_naz:anim 
неввічливі	           adj:p:v_naz 
інколи	               adv:&pron:ind 
навіть	               part 
поводять	           verb:pres:p:3:imperf 
себе	               pron:refl:m:v_rod 
вкрай	               adv:v-u 
зверхньо	           adv 
що	                   pron:int:rel:n:v_naz 
не	                   part 
може	               verb:unknown 
не	                   part 
викликати	           verb:inf:imperf 
обурення	           noun:n:v_zna
Меню	               noun:n:v_naz:nv 
досить	               adv 
продумане	           adjp:pasv:past:n:v_zna 
але	                   conj:coord 
не	                   part 
завжди	               adv:&pron:gen 
можна	               predic 
застати	               verb:inf:perf 
виканання	
однієї	               numr:f:v_rod 
і	                   conj:coord 
тієї	               adj:f:v_rod:&pron:dem 
ж	                   part 
страви	               noun:f:v_rod 
одинаково	           adv
вдало	               adv:compb:v-u 
Хоча	               conj:subord 
кількість	           noun:f:v_zna 
відвідувачів	       noun:p:v_rod:anim 
вражаюча	           adj:f:v_naz:bad 
тому	               adv 
не	                   part 
можу	               verb:unknown 
сказати	               verb:inf:perf 
що	                   conj:subord pron:int:rel:n:v_naz 
це	                   adj:n:v_zna:&pron:dem 
місце	               noun:n:v_zna 
зовсім	               adv 
безнадійне	           adj:n:v_zna 
просто	               adv:compb 
воно	               pron:pers:n:3:v_naz 
на	                   prep:rv_zna 
любителя	           noun:m:v_rod:anim 
Замовила	           verb:past:f:perf 
доставку	           noun:f:v_zna 
додому	               adv 
стейк	               noun:m:v_zna
з	                   prep:rv_rod
телятини	           noun:f:v_rod 
з	                   prep:rv_oru
картоплею	           noun:f:v_oru 
XXL	
85	                   number 
грн	                   noun:f:v_naz:abbr 
В                      prep:rv_mis:v-u 
меню	               noun:n:v_mis:nv 
вказано	               verb:impers:perf:v-u 
що	                   conj:subord 
порція	               noun:f:v_naz 
XXL	 
важить	               verb:pres:s:3:imperf 
1	                   number 
кг	                   noun:m:v_zna:abbr 
Порція	               noun:f:v_naz 
яку	                   noun:m:v_zna:anim 
мені	               pron:pers:s:1:v_dav:anim 
привезли	           verb:past:p:perf 
важила	               verb:past:f:imperf 
450	                   number 
грамів	               noun:p:v_rod 
включаючи	           advp:imperf:v-u 
картоплю	           noun:f:v_zna 
і	                   conj:coord 
салат	               noun:m:v_zna 
сам	                   adj:m:v_zna:&pron:def 
стейк	               noun:m:v_zna 
виглядав	           verb:past:m:imperf 
не	                   part 
як	                   adv:&pron:int:rel 
стейк	               noun:m:v_zna
а	                   conj:coord 
як	                   adv:&pron:int:rel 
невеличкий	           adj:m:v_zna
кусочок	               noun:m:v_zna 
шашлику	               noun:m:v_rod 
50-70	               number 
грам	               noun:m:v_naz 
максимум	           adv 
ще	                   adv 
й	                   part 
крім                   prep:rv_rod 
того	той            adj:m:v_rod:&pron:dem 
був	                   verb:past:m:imperf 
настільки	           adv 
жорстким	           adj:m:v_oru:compb 
що	                   conj:subord pron:int:rel:n:v_naz 
одразу	               adv 
пішов	               verb:past:m:perf 
смітник	               noun:m:v_zna 
Виходить	           verb:pres:s:3:imperf 
що	                   conj:subord pron:int:rel:n:v_naz 
на	                   prep:rv_zna 
доставку	           noun:f:v_zna 
можна	               predic 
запакувати	           verb:inf:perf 
замість	               prep:rv_rod 
стейка	               noun:m:v_rod 
несвіжий	           adj:m:v_zna 
кусок	               noun:m:v_zna 
шашлику	               noun:m:v_rod
і	                   conj:coord  
замість	               prep:rv_rod 
найбільшої	           adj:f:v_rod:super 
порції	               noun:f:v_rod 
найменшу	           adj:f:v_rod:super 
Цікаво	               adv:compb 
подивитись	           verb:rev:inf:perf 
як	                   adv:&pron:int:rel 
би	                   part 
вони	               pron:pers:p:3:v_naz:anim 
принесли	           verb:past:p:perf 
таке	               adj:n:v_zna:&pron:def 
відвідувачам	       noun:p:v_dav:anim 
у	                   prep:rv_zna:v-u 
зал	                   noun:m:v_zna 
Тішить	               verb:pres:s:3:imperf 
тільки	               adv 
те	                   adj:n:v_zna:&pron:dem 
що	                   conj:subord pron:int:rel:n:v_naz 
вислухавши	           advp:perf 
мою	                   adj:f:v_zna:&pron:pos 
телефонну	           adj:f:v_zna 
скаргу	               noun:f:v_zna 
пообіцяли	           verb:past:p:perf 
все	                   adv:v-u 
вияснити	           verb:inf:perf 
і	                   conj:coord 
компенсувати	       verb:inf:imperf 
збитки	               noun:p:v_zna 
у	                   prep:rv_mis:v-u 
вигляді	               noun:m:v_mis 
безкоштовного	       adj:m:v_rod 
замовлення	           noun:n:v_rod 
Чекаю	               verb:pres:s:1:imperf 
Я	                   pron:pers:s:1:v_naz:anim 
та	                   conj:coord 
мій	                   adj:m:v_naz:&pron:pos 
друг	               noun:m:v_naz:anim 
сиділи	               verb:past:p:imperf 
у	                   prep:rv_mis:v-u 
пабі	               noun:m:v_mis 
Білий	               adj:m:v_naz:compb 
Лев	                   noun:m:v_naz:anim:fname 
Сподобалось	           verb:rev:past:n:perf 
як	                   conj:subord 
швидко	               adv:compb 
виносять	           verb:pres:p:3:imperf 
напої	               noun:p:v_zna 
а	                   conj:coord 
особливо	           adv 
пиво	               noun:n:v_zna 
Але	                   conj:coord 
коли	               conj:subord 
попросили	           verb:past:p:perf 
винести	               verb:inf:perf 
щось	               pron:ind:n:v_zna 
смачненького	       adj:m:v_rod 
до	                   prep:rv_rod 
пива	               noun:n:v_rod 
офіціант	           noun:m:v_naz:anim 
довго	               adv:compb 
згадував	           verb:past:m:imperf 
що	                   conj:subord  pron:int:rel:n:v_naz 
можна	               predic 
подати	               verb:inf:perf 
А	                   conj:coord 
ще	 adv               part 
довше	               adv:compr 
виносили	           verb:past:p:imperf 
страви	               noun:p:v_zna 
близько	               adv:compb 
40	                   number 
хвилин	               noun:p:v_rod 
Якщо	               conj:subord 
покращити	           verb:inf:perf 
швидкість	           noun:f:v_zna 
подачі	               noun:f:v_rod 
страв	               noun:p:v_rod 
то	                   conj:subord 
було	               verb:past:n:imperf 
б	                   part 
так	                   part 
досить	               adv 
нічого	               adv 
але	                   conj:coord 
на	                   prep:rv_zna 
даний	               adjp:pasv:past:m:v_zna
час	                   noun:m:v_zna 
Я	                   pron:pers:s:1:v_naz:anim
відмовлюсь	           verb:rev:futr:s:1:perf 
від	                   prep:rv_rod 
відвідин	           noun:p:v_rod 
цього	               adj:m:v_rod:&pron:dem 
закладу	               noun:m:v_rod 
Сьогодні	           adv 
з	                   prep:rv_oru 
компанією	           noun:f:v_oru 
були	               verb:past:p:imperf 
в	                   prep:rv_mis:v-u 
пабі	               noun:m:v_mis 
і	                   conj:coord 
розчарувались	       verb:rev:past:p:perf 
Овочі	               noun:p:v_zna 
на	                   prep:rv_zna:rv_mis 
грилі	               noun:m:v_mis 
були	               verb:past:p:imperf 
жахливі	               adj:p:v_zna:compb 
Мало	               adv:compb 
того	               adj:n:v_rod:&pron:dem 
що	                   conj:subord  
це	                   adj:n:v_naz:&pron:dem 
був	                   verb:past:m:imperf 
зовсім	               adv 
не	                   part 
гриль	               noun:m:v_zna 
а	                   conj:coord 
овочі	               noun:p:v_zna 
підігріті	           adjp:pasv:past:p:v_zna
в	                   prep:rv_mis:v-u 
жирі	               noun:m:v_mis 
так	                   part 
ще	                   part 
й	                   part 
наполовину	           adv 
сирі                   noun:m:v_zna 
Назва	               noun:f:v_naz 
страви	               noun:p:v_zna 
має	                   verb:pres:s:3:imperf 
відповідати	           verb:inf:imperf 
тому	               pron:m:v_dav 
що	                   conj:subord 
отримують	           verb:pres:p:3:imperf 
клієнти	               noun:p:v_naz:anim 
Хоча	               conj:subord 
печена	               adjp:pasv:past:f:v_naz 
груша	               noun:f:v_naz 
була	               verb:past:f:imperf 
смачна	               adj:f:v_naz:compb 
Давно	               adv 
не	                   part 
відвідували	           verb:past:p:imperf 
ваш	                   adj:m:v_naz:&pron:pos
заклад	               noun:m:v_zna 
Вчора	               adv:v-u 
вирішили	           verb:past:p:perf 
завітати	           verb:inf:perf 
на	                   prep:rv_zna 
саму                   adj:n:v_zna:&pron:def 
смачне	               adj:n:v_zna:compb 
пиво	               noun:n:v_zna 
Grimbergen	 
у	                   prep:rv_mis:v-u 
Львові	               noun:m:v_mis 
приємні	               adj:p:v_zna:compb 
ввічливі	           adj:p:v_naz:v-u 
офіціанти	           noun:p:v_naz:anim 
які	                   adj:p:v_naz:&pron:int:rel:def
догодили	           verb:past:p:perf 
нам	                   pron:pers:p:1:v_dav:anim 
у	                   prep:rv_mis:v-u 
всьому	               adj:n:v_mis:&pron:dem 
ще	                   part 
і	                   conj:coord 
настрій	               noun:m:v_zna 
підняли	               verb:past:p:perf 
завжди	               adv:&pron:gen 
вчасно	               adv 
і	                   conj:coord 
з	                   prep:rv_oru 
посмішкою	           noun:f:v_oru 
підходили	           verb:past:p:imperf 
до	                   prep:rv_rod 
нас	                   pron:pers:p:1:v_rod:anim 
що	                   conj:subord  pron:int:rel:n:v_naz 
не	                   part 
можна	               predic 
сказати	               verb:inf:perf 
про	                   prep:rv_zna 
інші	               adj:p:v_zna:&pron:def 
заклади	               noun:p:v_zna
Львова	Львів          noun:m:v_rod 
Кухня	               noun:f:v_naz 
просто	               adv:compb 
пальчики	           noun:p:v_zna 
оближеш	               verb:futr:s:2:perf 
а	                   conj:coord 
квасоля	               noun:f:v_naz 
просто	               adv:compb 
супер	               noun:m:v_naz 
так	                   adv:&pron:dem  part 
тримати	               verb:inf:imperf 
Білий	               adj:m:v_naz:compb 
Лев	
Згідний	               adj:m:v_naz 
з	                   prep:rv_oru
Вами	               pron:pers:p:2:v_oru:anim 
що	                   conj:subord 
місце	               noun:n:v_zna 
хороше	               adj:n:v_zna:compb 
якісна	               adj:f:v_naz:compb 
кухня	               noun:f:v_naz 
і	                   conj:coord 
обслуговування	       noun:n:v_zna
прекрасне	           adj:n:v_zna:compb 
Залишається	           verb:rev:pres:s:3:imperf 
тільки	               conj:subord 
покращити	           verb:inf:perf 
замовлення	           noun:n:v_zna 
або	                   conj:coord 
резервацію	           noun:f:v_zna 
телефоном	           noun:m:v_oru 
тому	               adv 
що	                   conj:subord  
не	                   part 
привітно	           adv:compb 
слухати	               verb:inf:imperf 
Хамливого	
адміністратора	       noun:m:v_rod:anim 
який	               adj:m:v_naz:&pron:int:rel:def
відлякує	           verb:pres:s:3:imperf 
людей	               noun:p:v_rod:anim 
Для	                   prep:rv_rod 
того	               adj:m:v_rod:&pron:dem 
щоб	                   conj:subord 
замовити	           verb:inf:perf 
столик	               noun:m:v_zna 
для	                   prep:rv_rod 
товариства	           noun:n:v_rod 
необхідно	           adv:compb 
спочатку	           adv 
приїхати	           verb:inf:perf 
і	                   conj:coord 
залишити	           verb:inf:perf 
завдаток	           noun:m:v_zna 
а	                   conj:coord 
пізніше	               adv:compr 
знову	               adv 
приходити	           verb:inf:imperf 
вже	                   adv:v-u 
із	                   prep:rv_oru
гостями	               noun:p:v_oru:anim 
Це	                   adj:n:v_naz:&pron:dem 
все	                   adv:v-u 
нагадує	               verb:pres:s:3:imperf 
СОЛДЕПІЮ	
де	                   adv:&pron:int:rel 
клієнту	               noun:m:v_dav:anim 
не	                   part 
раді	               adj:p:v_naz 
тільки	               conj:subord 
завдаток	           noun:m:v_zna 
на	                   prep:rv_rod 
8	                   number 
людей	               noun:p:v_rod:anim 
у	                   prep:rv_zna:rv_mis:rv_rod:v-u 
400	                   number 
грн	                   noun:p:v_rod:abbr 
Бажаю	               verb:pres:s:1:imperf 
Вам		               adj:f:v_rod:compr 
роботи	               noun:p:v_rod:anim 
у	                   prep:rv_mis:v-u 
цьому	               adj:m:v_mis:&pron:dem 
напрямку	           noun:m:v_mis 
і	                   conj:coord 
бути	               verb:inf:imperf 
привітнішими	       adj:p:v_oru:compr 
до	                   prep:rv_rod 
людей	               noun:p:v_rod:anim 
які	                   adj:p:v_naz:&pron:int:rel:def
телефонують	           verb:pres:p:3:imperf 
і	                   conj:coord 
вислуховувати	       verb:inf:imperf 
їх	                   pron:pers:p:3:v_rod:anim 
до	                   prep:rv_rod 
кінця	               noun:m:v_rod 
а	                   conj:coord 
не	                   part 
кидати	               verb:inf:imperf 
слухавки	           noun:f:v_rod 
на	                   prep:rv_zna 
пів	                   noun:f:v_zna:nv:np 
розмови	               noun:f:v_rod 
З	                   prep:rv_oru 
повагою	               noun:f:v_oru 
Микола	               noun:m:v_naz:anim:fname
Звичайно	           adv:compb 
у	                   prep:rv_mis
цей	                   adj:m:v_zna:&pron:dem 
день	               noun:m:v_zna 
ми	                   pron:pers:p:1:v_naz:anim 
не	                   part 
відвідали	           verb:past:p:perf 
Вашого	               adj:m:v_rod:&pron:pos 
ресторану	           noun:m:v_rod 
прекрасно	           adv:compb 
провели	               verb:past:p:perf 
час	                   noun:m:v_zna 
у	                   prep:rv_mis:v-u 
Кумпелі	
де	                   adv:&pron:int:rel 
на	                   prep:rv_zna 
ці	                   adj:p:v_zna:&pron:dem 
речі	               noun:f:v_zna 
все	                   adv:v-u 
набагато	           adv 
простіше	           adv:compr 
і	                   conj:coord  
завдатку	           noun:m:v_rod 
непотрібно	           adv 
достатньо	           adv 
подзвонити	           verb:inf:perf 
От	                   part 
тепер	               adv:&pron:dem 
я	                   pron:pers:s:1:v_naz:anim
розумію	               verb:pres:s:1:imperf 
всі	                   adj:p:v_zna:&pron:dem 
негативні	           adj:p:v_zna:compb 
коментарі	           noun:p:v_zna 
Як	                   adv:&pron:int:rel conj:subord 
тільки	               conj:subord 
на	                   prep:rv_mis:rv_mis 
Валовій	               adj:f:v_mis 
відкрилася	           verb:rev:past:f:perf 
ми	                   pron:pers:p:1:v_naz:anim
піднялися	           verb:rev:past:p:perf 
на                     prep:rv_zna 
другий	               adj:m:v_zna 
поверх	               noun:m:v_zna 
де	                   adv:&pron:int:rel 
були	               verb:past:p:imperf 
затишні	               adj:p:v_zna:compb 
столи	               noun:p:v_zna 
і	                   conj:coord 
досить	               adv 
швидко	               adv:compb 
принесли	           verb:past:p:perf 
доволі	               adv 
смачну	               adj:f:v_zna:compb 
піцу	               noun:f:v_zna 
Десерт	               noun:m:v_zna
також	               adv 
був	                   verb:past:m:imperf 
смачний	               adj:m:v_zna:compb 
і	                   conj:coord 
відносно	           adv 
не	 
дорогий	               adj:m:v_zna:compb 
Пройшов	               verb:past:m:perf 
рік	                   noun:m:v_zna 
Пішла	               verb:past:f:perf 
з	                   prep:rv_oru
друзями	               noun:p:v_oru:anim 
Був	                   verb:past:m:imperf 
дощ	                   noun:m:v_naz 
і	                   conj:coord 
маленьку	           adj:f:v_zna 
піцу	               noun:f:v_zna 
ми	                   pron:pers:p:1:v_naz:anim
чекали	               verb:past:p:imperf 
1,5	                   number 
години	               noun:f:v_rod 
ніхто	               pron:neg:v_naz:anim 
не	                   part 
вибачився	
Було	               verb:past:n:imperf 
неприємно	           adv:compb 
більше	               adv:compr 
не	                   part 
прийду	               verb:futr:s:1:perf 
Шкода	               noun:f:v_naz 
власників	           noun:p:v_rod:anim 
потратилися	           verb:rev:past:p:perf 
на	                   prep:rv_zna 
ремонт	               noun:m:v_zna 
а	                   conj:coord 
персонал	           noun:m:v_zna 
виховати	           verb:inf:perf 
не	                   part 
в	                   prep:rv_mis:v-u 
змозі	               noun:f:v_mis 
Нарешті	               adv 
завітала	           verb:past:f:perf 
у	                   prep:rv_zna:v-u 
цей	                   adj:m:v_zna:&pron:dem 
паб	                   noun:m:v_zna 
бо                     conj:subord 
розташований	       adjp:pasv:past:m:v_zna 
він	                   pron:pers:m:3:v_naz:anim 
настільки	           adv 
вдало	               adv:compb:v-u 
що	                   conj:subord pron:int:rel:n:v_naz 
хочеш	               verb:unknown 
не	                   part 
хочеш	               verb:unknown 
все	                   adv:v-u 
одно	               numr:n:v_naz 
зайдеш	               verb:futr:s:2:perf 
з	                   prep:rv_rod 
цікавості	           noun:f:v_rod 
Проте	               conj:coord 
вдруге	               adv:v-u 
не	                   part 
зайду                  verb:futr:s:1:perf 
бо	                   conj:subord 
незатишно	           adv 
в	                   prep:rv_mis:v-u 
першому	               adj:m:v_mis 
залі	               noun:m:v_mis 
вдень	               adv:v-u 
відчуття	           noun:n:v_zna 
прохідного	           adj:m:v_rod 
двору	               noun:m:v_rod 
в	                   prep:rv_mis:v-u 
другому	               adj:m:v_mis 
дешевого	           adj:m:v_rod:compb 
генделика	           noun:m:v_rod 
Кухня	               noun:f:v_naz 
так	                   part 
собі	               (part)pron:refl:m:v_dav 
пиво	               noun:n:v_zna 
Лінивий	               adj:m:v_naz:compb 
пес	                   noun:m:v_naz:anim 
гіршого	               adj:m:v_rod:compr 
ще	                   part 
не	                   part 
пила	               verb:past:f:imperf 
У	                   prep:rv_mis:v-u 
інтер'єрі	           noun:m:v_mis 
є	                   verb:pres:p:3:imperf 
цікаві	               adj:p:v_zna:compb 
моменти	               noun:p:v_zna
але	                   conj:coord 
то	                   conj:subord 
радше	               adv 
декор	               noun:m:v_zna 
ніж	                   conj:subord 
стиль	               noun:m:v_zna 
Хочеться	           verb:unknown 
справжнього	           adj:m:v_rod 
пабу	               noun:m:v_rod 
нехай	               part 
і	                   conj:coord 
львівського	           adj:m:v_rod 
більше	               adv:compr 
хуліганства	           noun:n:v_rod 
смачного	           adj:m:v_rod:compb 
пива	               noun:n:v_rod 
і	                   conj:coord 
якихось	               adj:p:v_rod:&pron:ind 
смаколиків	           noun:p:v_rod 
до	                   noun:n:v_rod 
на	                   prep:rv_zna 
різні	               adj:p:v_zna 
смаки	               noun:p:v_zna
і	                   conj:coord 
гаманці	               noun:m:v_zna 
Атмосферу	           noun:f:v_zna 
створюють	           verb:pres:p:3:imperf 
люди	               noun:p:v_naz:anim 
а	                   conj:coord 
не	                   part 
вивіска	               noun:f:v_naz 
Мене	               pron:pers:s:1:v_rod:anim
б	                   part 
туди	               adv:&pron:dem 
вдруге	               adv:v-u 
могло	               verb:unknown 
б	                   part 
заманити	           verb:inf:perf 
хіба	               part 
величезний	           adj:m:v_zna 
вибір	               noun:m:v_zna 
пива	               noun:n:v_rod 
але	                   conj:coord 
якісного	           adj:m:v_rod:compb 
і	                   conj:coord 
веселий	               adj:m:v_zna:compb 
персонал	           noun:m:v_zna 
байкерської	           adj:f:v_rod 
зовнішності	           noun:f:v_rod 
 Сьогодні	           adv 
