Taradakha 20-30 female
нормальний	нормальний adj:m:v_naz  9
сервіс	сервіс  noun:m:v_naz  7
кухня	кухня   noun:f:v_naz  13
крім	крім    prep:rv_rod  1
піци	піца    noun:f:v_rod   15
і	    і       conj:coord  0
смачна	смачний adj:f:v_naz:compb  14
нормальний	нормальний adj:m:v_naz  9
персонал   персонал    noun:m:v_naz  4
чистий	 чистий        adj:m:v_naz:compb  34
туалет	  туалет       noun:m:v_naz   -2
і	    і       conj:coord 0
купа	купа    noun:f:v_naz  3
місця	місце   noun:n:v_rod  5
і	    і        conj:coord 0
столиків столик noun:p:v_rod  2
вмоститись	вмоститися verb:rev:inf:perf:v-u  8
і	    і       part  0
трьом	троє    numr:p:v_dav  0
і	    і       part  0
тридцятьом	тридцять numr:p:v_dav  0
і	    і       conj:coord   0
там	    там     adv:&pron:dem  0
рідко	рідко   adv:compb  -19
коли	коли    adv:&pron:int:rel   0
немає	немає   predic  -12
місця	місце   noun:n:v_rod   -7
а	    а       conj:coord  0
там	    там     adv:&pron:dem  0
немає	немає   predic  -28
мобільного	мобільний adj:m:v_rod:compb  6
в	    в       prep:rv_mis::v-u  0
підвалі	підвал  noun:m:v_mis  15
ніхто	ніхто   pron:neg:v_naz:anim  -12
не	    не      part  0
шарпає	шарпати verb:pres:s:3:imperf  -16
і	    і       conj:coord   0
спокійно спокійно adv:compb  17
попити	попити  verb:inf:perf  17
пива	пиво    noun:n:v_rod  41
і	    і       conj:coord  0
відпочити  відпочити verb:inf:perf  24
там	    там     adv:&pron:dem   0
є	    бути    verb:pres:s::imperf  22
інтернет інтернет noun:m:v_naz  40
той	    той     adj:m:v_naz:&pron:dem  0
халявний халявний adj:m:v_naz:slang  50
ноут	ноут    noun:m:v_zna:slang  36
в	    в       prep:rv_zna:v-u  0
руки	рука    noun:p:v_zna  12
і	    і       conj:coord   0
вйо	    вйо     excl  -15
в	    в       prep:rv_mis:v-u  0
контактах контакт noun:p:v_mis  8
сидіти	сидіти  verb:inf:imperf  3
сьорбаючи сьорбати advp:imperf  -48
чай	    чай     noun:m:v_zna  5
і	    і       part  0
головне	головний adj:n:v_naz:compb  2
такий	такий   adj:m:v_naz:&pron:def 0
на	    на      prep:rv_mis  0
стіні	стіна   noun:f:v_mis  0
і	    і       conj:coord  0
ви	    ви      pron:pers:p:2:v_naz:anim 0
ввічливо ввічливо adv:v-u  20
попросите попросити verb:futr:p:2:perf  3
вам	    ви      pron:pers:p:2:v_dav:anim 0
включать включити verb:futr:p:3:perf:v-u  8
не	    не      part  0
музичний музичний adj:m:v_zna  39
канал	канал   noun:m:v_zna  4
а	    а       conj:coord  0
футбол	футбол  noun:m:v_zna  14
так	    так     adv:&pron:dem  8
трошки	трошки  adv  2
відгук	відгук  noun:m:v_naz  4
трошки	трошки  adv  3
рецензія рецензія noun:f:v_naz  6
і	     і     conj:coord   0
трошки	трошки adv  3
реклама	реклама noun:f:v_naz   -3
ні	    ні     part  -8
я	    я      pron:pers:s:1:v_naz:anim  6
там	    там    adv:&pron:dem    0
не	    не     part  0
працюю	працювати verb:pres:s:1:imperf  5
так	    так    adv:&pron:dem   12
я	    я      pron:pers:s:1:v_naz:anim  6
постійний постійний adj:m:v_naz   6
закладу	заклад  noun:m:v_rod 5
не	    не       part  -13
сподобалось	сподобатися verb:rev:past:n:perf  25
з	    з        prep:rv_rod 0
вище	вище     adv:compr:compr 6
написаного написаний adjp:pasv:past:m:v_rod  -3
повторю	 повторити  verb:futr:s:1:perf  -7
щасливої щасливий   adj:f:v_rod:compb  29
дороги	дорога      noun:f:v_rod  7
в	    в           prep:rv_zna:v-u  0
Ожидів	Ожидів      noun:m:v_zna   0
Обожнюю	обожнювати  verb:pres:s:1:imperf  42
цей	    цей         adj:m:v_zna:&pron:dem 0
заклад	заклад      noun:m:v_zna   11
Кожен	кожний      adj:m:v_zna:contr  1
раз	    раз         noun:m:v_zna  0
коли	коли        conj:subord  0
ми	    ми          pron:pers:p:1:v_naz:anim  0
з	    з           prep:rv_oru  0
коханим	коханий     adjp:pasv:past:m:v_oru 24
у	    у           prep:rv_mis:v-u  0
Львові	Львів       noun:m:v_mis  49
обов'язково	обов'язково adv   -7
Надзвичайно	надзвичайно adv  11
привітні привітний  adj:p:v_naz:compb   11
офіціантки офіціантка noun:p:v_naz:anim  3
які	    який        adj:p:v_naz:&pron:int:rel:def 0
уже	    уже         adv:v-u  0
навіть	навіть      part  0
пам'ятають пам'ятати verb:pres:p:3:imperf  7
наші	наш         adj:p:v_zna:&pron:pos  0
вподобання	вподобання noun:p:v_zna:v-u  15
і	    і           conj:coord   0
рекомендують рекомендувати verb:pres:p:3:imperf  25
щось	щось        pron:ind:n:v_zna  -3
нове	новий       adj:n:v_zna:compb  8
Там	    там         adv:&pron:dem   0
усе 	увесь       adj:n:v_naz:&pron:dem  0
смачне	смачний     adj:n:v_naz:compb  39
ми	    ми          pron:pers:p:1:v_naz:anim 0
куштуємо куштувати  verb:pres:p:1:imperf  23
раз     раз         noun:m:v_zna  0
щось	щось        pron:ind:n:v_zna  0
нове	новий       adj:n:v_zna:compb  17
і	    і           conj:coord   0
все	    весь        adj:n:v_naz:&pron:dem   11
ідеально ідеально   adv   13
Ціни	ціна        noun:p:v_naz  -7
європейські	європейський adj:p:v_naz  8
а	    а           conj:coord   0
сервіс	сервіс      noun:m:v_naz  2
жахливий  жахливий  adj:m:v_naz:compb  -36
Різне	різний      adj:n:v_naz  4
ставлення ставлення noun:n:v_naz   4
до	    до          prep:rv_rod  0
відвідувачів відвідувач noun:p:v_rod:anim  10
українців  українець noun:p:v_rod:anim  49
та	    та          conj:coord   0
іноземців іноземець noun:p:v_rod:anim  24
зневажливе	зневажливий adj:n:v_naz   -36
ставлення ставлення noun:n:v_naz   3
персоналу персонал  noun:m:v_rod  5
дівчата	дівча       noun:p:v_naz:anim  34
під	    під         prep:rv_zna 0
час	    час         noun:m:v_zna  5
клієнтів клієнт     noun:p:v_rod:anim   25
роблять	робити      verb:pres:p:3:imperf  3
макіяж	макіяж      noun:m:v_zna  25
а   	а           conj:coord  0
говорять говорити   verb:pres:p:3:imperf  9
по	    по          prep:rv_mis  0
телефону	телефон noun:m:v_mis   6
Як	    як          adv:&pron:int:rel   0
на	    на          prep:rv_zna 0
мене	я           pron:pers:s:1:v_zna:anim 3
заклад	заклад      noun:m:v_naz   7
хороший	хороший     adj:m:v_naz:compb  25
Буваю   бувати      verb:pres:s:1:imperf  7
там	    там         adv:&pron:dem  0
часто	часто       adv:compb  9
заманює	заманювати verb:pres:s:3:imperf  31
цінами	ціна       noun:p:v_oru  -5
телевізором	телевізор noun:m:v_oru  9
та	    та         conj:coord  0
тим  	той        adj:m:v_oru:&pron:dem 0
що	    що         conj:subord  0
там	    там        adv:&pron:dem   0
не	    не         part  0
мають	мати       verb:pres:p:3:imperf 4
моду	мода       noun:f:v_zna  38
виключати виключати verb:inf:imperf  -18
витяжку	витяжка    noun:f:v_zna  0
коли	коли       adv:&pron:int:rel  0
багато	багато     numr:p:v_zna:&pron:ind 29
курців	курець     noun:p:v_zna:anim  -25
збирається збиратися verb:rev:pres:s:3:imperf  -26
Пузата	пузатий    adj:f:v_naz  -5
хата	хата       noun:f:v_naz  15
смисл	смисл      noun:m:v_naz 5
ціни	ціна       noun:p:v_naz  -14
бачили	бачити     verb:past:p:imperf  3
там	    там        adv:&pron:dem   0
Пузата	пузатий    adj:f:v_naz  -17
хата	хата       noun:f:v_naz  11
не	    не         part  -11
є       бути      verb:pres:s:3:imperf   11
спокійним спокійний adj:n:v_oru:compb  28
місцем	 місце     noun:n:v_oru  -2
щоб	     щоб       conj:subord  0
поїсти	поїсти     verb:inf:perf  19
або	    або        conj:coord  0
попити	попити     verb:inf:perf   9
пива	пиво       noun:n:v_rod  30
більше	багато     adv:compr  13
їхня	їхній      adj:f:v_naz:&pron:pos  0
каса	каса       noun:f:v_naz  -8
мені	я          pron:pers:s:1:v_dav:anim 7
нагадує	нагадувати verb:pres:s:3:imperf  -3
касу	каса       noun:f:v_zna  -6
звичайної звичайний adj:f:v_rod:compb  2
громадської	громадський adj:f:v_rod  -11
їдальні	їдальня    noun:f:v_rod  -5
Там  	там        adv:&pron:dem   0
де	    де         adv:&pron:int:rel   0
ідуть	іти        verb:pres:p:3:imperf  7
високі	високий    adj:p:v_naz:compb  20
прибутки прибуток  noun:p:v_naz  14
про	    про        prep:rv_zna  0
якість	якість     noun:f:v_zna  15
не  	не         part  -11
сильно	сильно     adv:compb  9
задумуються	задумуватися verb:rev:pres:p:3:imperf  5
їм	    вони       pron:pers:p:3:v_dav:anim 0
виживати виживати  verb:inf:imperf  -24
і	    і          conj:coord   0
боротись боротися  verb:rev:inf:imperf  13
за	    за         prep:rv_zna 0
ринок	ринок      noun:m:v_zna  -5
не	    не         part  -13
треба	треба      predic   18
Кому   хто         pron:int:rel:m:v_dav:anim 0
не	   не          part  0
подобається	подобатися verb:rev:pres:s:3:imperf  22
Алегро	алегро      noun:n:v_naz:nv  0
не	    не          part  -12
йдіть	йти         verb:impr:p:2:imperf  7
туди	туди        adv:&pron:dem  0
більше	багато      adv:compr    12
місця	місце       noun:n:v_rod  6
буде	бути        verb:futr:s:3:imperf   6
одна	один        numr:f:v_naz  0
з	    з           prep:rv_rod  0
найкращих хороший   adj:p:v_rod:super 35
бістро	бістро      noun:p:v_rod:nv 25
у	    у           prep:rv_mis:v-u  0
своєму	свій        adj:m:v_mis:&pron:pos  9
роді	рід         noun:m:v_mis  6
беручи	брати       advp:imperf  6
до	    до          prep:rv_rod  1
уваги	увага       noun:f:v_rod  12
інші	інший       adj:p:v_zna:&pron:def  -4
заклади	заклад      noun:p:v_zna  6
такого	такий       adj:m:v_rod:&pron:def  0
типу	тип         noun:m:v_rod   0
Нічого	нічого      predic  -5
Абсолютно абсолютно adv  0
Нічого	нічого      predic -4
Таке	такий       adj:n:v_naz:&pron:def  0
ніби-то	ніби        conj:subord  0
тут	    тут         adv:&pron:dem  0
абсолютно абсолютно adv  0
недбало	 недбало    adv  -30
ставляться	ставитися verb:rev:pres:p:3:imperf 2
до	    до          prep:rv_rod  0
ресторану ресторан  noun:m:v_rod  16
та	    та          conj:coord   0
гостей	гостя       noun:p:v_rod:anim  6
Відчуття відчуття   noun:n:v_naz 6
що	   що           conj:subord   0
в   	в           prep:rv_mis  0
ресторані ресторан  noun:m:v_mis  10
дуже	дуже        adv  3
давно	давно       adv  3
не	    не          part  -8
прибирали прибирати verb:past:p:imperf  -4
пилюка	пилюка      noun:f:v_naz  -30
всюди	всюди       adv:gen:v-u:&pron  6
килими	 килим      noun:p:v_naz  5
що      що          pron:int:rel:n:v_naz  0
неприпустимо неприпустимо adv  -8
для	    для          prep:rv_rod  0
ресторану	ресторан noun:m:v_rod  19
Ну	    ну           excl 0
і	    і            part  0
найголовніше головно adv:super 3
що	    що          pron:int:rel:n:v_naz  0
абсолютно абсолютно adv  0
несмачно несмачно   adv  -39
хоч	    хоч         conj:subord    0
і	    і           part  0
дешево	дешево      adv:compb  48
але	    але         conj:coord   0
навіть	навіть      part  0
невеликі невеликий adj:p:v_zna  4
гроші	гроші      noun:p:v_zna  46
шкода	шкода      noun:f:v_naz  -7
віддавати віддавати verb:inf:imperf  -22
за	    за         prep:rv_zna 0
такі	такий      adj:p:v_zna:&pron:def  0
паскудні паскудний adj:p:v_zna:compb  -35
страви	страва     noun:p:v_zna   17
Нікому	ніхто      pron:neg:v_dav:anim  -4
не	   не          part  -11
рекомендую	рекомендувати verb:pres:s:1:imperf  12
Мертвий	мертвий     adj:m:v_naz  -31
ресторан ресторан   noun:m:v_naz  15
ресторан ресторан   noun:m:v_naz 15
зачаровує зачаровувати verb:pres:s:3:imperf  15
своєю   свій        adj:f:v_oru:&pron:pos  5
красою	краса       noun:f:v_oru  18
Інтер'єр інтер'єр   noun:m:v_naz  9
продуманий	продуманий adjp:pasv:past:m:v_naz 9
до	     до          prep:rv_rod  0
кожної	 кожний      adj:f:v_rod:&pron:def  0
дрібнички дрібничка  noun:f:v_rod  7
Куди	куди         adv:&pron:int:rel  0
б	    б            part  0
Ви	    ви           pron:pers:p:2:v_naz:anim 0
не	    не           part  0
присіли	присісти     verb:past:p:perf  10
зі	    зі           prep:rv_rod 0
всіх	весь         adj:p:v_rod:&pron:dem  0
сторін	сторона      noun:p:v_rod  0
видно	видно        predic  10
прекрасну прекрасний adj:f:v_zna:compb  20
архітектуру	архітектура noun:f:v_zna  30
нашого	наш          adj:m:v_rod:&pron:pos  4
міста	місто        noun:n:v_rod  16
Персонал персонал    noun:m:v_naz  8
дуже	дуже         adv  8
привітний привітний  adj:m:v_naz:compb  28
кухня	кухня        noun:f:v_naz  18
неймовірна неймовірний adj:f:v_naz:compb  28
Побувавши побувати   advp:perf  8
в	    в            prep:rv_mis  0
цьому	цей          adj:m:v_mis:&pron:dem 0
ресторані ресторан   noun:m:v_mis  7
Ви	    ви          pron:pers:p:2:v_naz:anim  0
неодноразово неодноразово adv  4
захочете захотіти   verb:unknown  9
повернутись	повернутися verb:rev:inf:perf  6
до	    до          prep:rv_rod  0
нього	він         pron:pers:m:3:v_rod:anim  0
Молодці	молодець    noun:p:v_naz:anim 28
продовжуйте	продовжувати verb:impr:p:2:imperf  8
в	    в           prep:rv_mis:v-u  0
цьому	цей         adj:m:v_mis:&pron:dem 0
ж	    ж           conj:coord  0
дусі	дух         noun:m:v_mis   2
Чоловік	чоловік     noun:m:v_naz:anim  15
на	    на          prep:rv_mis  0
фото	фото        noun:n:v_mis:nv  7
на    	на          prep:rv_mis  0
Влада	влада       noun:f:v_naz (noun:m:v_rod) 0
Лістьєва Лістьєв    noun:m:v_rod:anim:lname (noun:m:v_zna) 0
схожий	схожий      adj:m:v_naz  5
Замовили замовити   verb:past:p:perf  9
столик	столик      noun:m:v_zna  2
дали	дати        verb:past:p:perf  4
100  	100         number  0
грн   	грн         noun:p:v_rod:nv:abbr  40
заставу	застава     noun:f:v_zna  -5
Гарно	гарно       adv:compb  12
посиділи посидіти   verb:past:p:perf  5
принесли принести   verb:past:p:perf  5
нам	     ми         pron:pers:p:1:v_dav:anim 3
рахунок	 рахунок    noun:m:v_zna  -2
оплатили оплатити   verb:past:p:perf  2
залишили залишити   verb:past:p:perf  -4
чаєві	чай         noun:m:v_dav (noun:p:v_zna)  15
Через	через       prep:rv_zna  0
два	    два         numr:m:v_zna  0
4	    4           number  0
дні  	день        noun:p:v_zna  0
згадали	згадати     verb:past:p:perf  2
що	    що          conj:subord  0
заставу	застава     noun:f:v_zna  -18
нам	    ми          pron:pers:p:1:v_dav:anim  0
НЕ	    не          part  -23
ПОВЕРНУЛИ повернути verb:past:p:perf  4
і	    і           conj:coord 0
не	    не          part  -9
врахували врахувати verb:past:p:perf:v-u  4
в	    в           prep:rv_zna:v-u  0
чек  	чек         noun:m:v_zna   -4
Пішли	піти        verb:past:p:perf  4
забирати забирати   verb:inf:imperf  -47
заставу	застава     noun:f:v_zna  -12
її	    вона        pron:pers:f:3:v_rod:anim 0
повернули повернути verb:past:p:perf  8
і	    і           conj:coord   0
навіть	навіть      part  0
вибачте	вибачити    verb:impr:p:2:perf  5
не	    не          part  -18
сказали	сказати     verb:past:p:perf   6
Не	    не          part  -7
очікували очікувати verb:past:p:imperf  4
бо   	бо          conj:subord  0
це   	цей         adj:n:v_naz:&pron:dem 0
був	    бути        verb:past:m:imperf  0
наш  	наш         adj:m:v_zna:&pron:pos  0
улюблений улюблений adjp:pasv:past:m:v_zna:compb 32
заклад	заклад      noun:m:v_zna  9
до	    до          prep:rv_rod  0
12  	12          number  0
грудня	грудень     noun:m:v_rod  -25
2013	2013        number  0
року	рік         noun:m:v_rod   6
Незважаючи незважаючи prep  0
на	    на          prep:rv_zna 0
величезну величезний adj:f:v_zna  12
кількість кількість  noun:f:v_zna  5
кафе	кафе         noun:n:v_zna:nv           47
у	    у            prep:rv_mis 0
Львові	Львів        noun:m:v_mis  45
та	    та           conj:coord  0
їхню	їхній        adj:f:v_zna:&pron:pos  0
різноманітність	різноманітність noun:f:v_zna   22
Кафе	кафе         noun:n:v_naz:nv  46
є	    бути         verb:pres:s:3:imperf 7
моїм	мій          adj:n:v_oru:&pron:pos  0
кафе	кафе         noun:n:v_oru:nv  49
Обожнюю	обожнювати  verb:pres:s:1:imperf  49
це	    цей         adj:n:v_zna:&pron:dem  0
місце	місце       noun:n:v_zna  4
у	    у           prep:rv_zna:v-u  0
будь-яку будь-який  adj:f:v_zna:&pron:ind  3
пору	пора        noun:f:v_zna  5
року	рік         noun:m:v_rod  3
Воно	воно        pron:pers:n:3:v_naz  0
особливе особливий  adj:n:v_naz  23
як	    як          adv:&pron:int:rel  0
своєю	свій        adj:f:v_oru:&pron:pos  6
кухнею	кухня       noun:f:v_oru  28
так	    так         adv:&pron:dem t  5
і	    і           part  0
атмосферою атмосфера noun:f:v_oru  9
А	    а           conj:coord   0
вишневий вишневий   adj:m:v_naz  14
неперевершений неперевершений adj:m:v_naz:&adjp:pasv:past 26
І	    і           part  0
взагалі	взагалі     adv:v-u  3
кухня	кухня       noun:f:v_naz  26
добірна	добірний    adj:f:v_naz:compb   16
радує	радувати    verb:pres:s:3:imperf  26
також	також       adv  0
Бачу	бачити     verb:pres:s:1:imperf  4
що	    що         conj:subord   0
усі	    увесь      adj:p:v_naz:&pron:dem 3
відгуки	відгук     noun:p:v_naz   8
такі	такий      adj:p:v_naz:&pron:def  3
приємні	приємний   adj:p:v_naz:compb  6
але  	але        conj:coord  0
мабуть	мабуть     insert  0
вже	    вже        adv:v-u  0
Тому	тому      adv  0
що     	що        conj:subord  0
замовивши замовити advp:perf  8
бенкет	бенкет    noun:m:v_zna  32
у	    у         prep:rv_mis  0
лютому	лютий    noun:m:v_mis  -9
ми	    ми        pron:pers:p:1:v_naz:anim  0
зазнали	зазнати   verb:past:p:perf  -23
страшенного	страшенний adj:n:v_rod  -37
сорому	сором      noun:m:v_rod  -31
нашими	наш        adj:p:v_oru:&pron:pos  0
щодо	щодо      prep:rv_rod  0
закладу	заклад    noun:m:v_rod  4
персоналу персонал noun:m:v_rod  5
а	    а        conj:coord   0
ще	    ще       adv  0
гірше	погано  adv:compr   -10
Дуже	дуже    adv  11
люблю	любити  verb:pres:s:1:imperf  25
це	    цей     adj:n:v_zna:&pron:dem 0
кафе	кафе    noun:n:v_zna:nv 16
а	    а       conj:coord   0
млинець	млинець noun:m:v_naz  21
з	    з       prep:rv_oru 0
куркою  курка   noun:f:v_oru:anim  30
та	    та      conj:coord  0
просто	просто  adv:compb   0
супер-пупер	супер-пупер adj:nv:slang  46
всім	весь    adj:p:v_dav:&pron:dem  11
рекомендую	рекомендувати verb:pres:s:1:imperf   16
Була	бути     verb:past:f:imperf  0
наприкінці	наприкінці adv   0
травня	травень  noun:m:v_rod  4
у	    у        prep:rv_mis:v-u  0
Львові	Львів    noun:m:v_mis  50
приїхала приїхати verb:past:f:perf  7
дуже	дуже     adv   10
рано	рано     adv  5
і	    і        conj:coord   0
шукала	 шукати  verb:past:f:imperf  2
що   	що       pron:int:rel:n:v_naz   0
в	    в        prep:rv_zna:rv_mis:rv_rod:v-u  0
центрі	центр    noun:m:v_mis  7
відкрите відкритий adjp:pasv:past:n:v_naz:compb 10
щоб	    щоб      conj:subord  0
поїсти	поїсти   verb:inf:perf   20
Кудись	кудись   adv:&pron:ind  0
забрела	забрести verb:past:f:perf  -7
і	    і        conj:coord   0
побачила побачити verb:past:f:perf  14
відкритий відкритий adjp:pasv:past:m:v_zna:compb 8
заклад	заклад   noun:m:v_zna  8
як	    як       adv:&pron:int:rel   0
потім	потім    adv:&pron:dem  2
виявилось виявитися verb:rev:past:n:perf  5
це	    цей      adj:n:v_naz:&pron:dem  0
було	бути     verb:past:n:imperf  0
кафе	кафе     noun:n:v_zna:nv  19
і	    і        conj:coord   0
дуже	дуже     adv   10
зраділа	зраділий adjp:actv:past:f:v_naz 26
Біля	біля     adv  1
закладу	заклад   noun:m:v_rod 5
стояв	стояти   verb:past:m:imperf  3
охоронець охоронець noun:m:v_naz:anim  6
і	    і       conj:coord  0
я	    я       pron:pers:s:1:v_naz:anim  4
запитала запитати verb:past:f:perf  8
чи	    чи      conj:coord:subord  0
вони	вони    pron:pers:p:3:v_naz:anim  0
відкриті відкритий adjp:pasv:past:p:v_naz:compb 28
Він	    він      pron:pers:m:3:v_naz:anim 0
махнув	махнути  verb:past:m:perf  2
головою	голова   noun:f:v_oru  1
на  	на      prep:rv_zna 0
знак	знак     noun:m:v_zna  0
згоди	згода    noun:f:v_rod 18
посміхнувся	посміхнутися verb:rev:past:m:perf  18
і	    і        conj:coord  0
привітався	привітатися verb:rev:past:m:perf   20
Я	    я       pron:pers:s:1:v_naz:anim 4
зайшла	зайти   verb:past:f:perf  4
всередину всередину adv:v-u  10
і	    і       conj:coord   0
вже 	вже     adv:v-u  0
шукала	шукати  verb:past:f:imperf  -6
зручне	зручний adj:n:v_zna:compb  8
місце	місце   noun:n:v_zna  6
для	    для     prep:rv_rod  0
насолоди насолода noun:f:v_rod  8
сніданком сніданок noun:m:v_oru  26
як	    як      adv:&pron:int:rel 0
мої     мій     adj:p:v_naz:&pron:pos  10
роздуми	роздум  noun:p:v_naz  6
перервав перервати verb:past:m:perf  -14
крик    крик    noun:m:v_zna  -45
Я	    я       pron:pers:s:1:v_naz:anim 12
побачила побачити verb:past:f:perf  6
сиву    сивий   adj:f:v_zna  -4
чи	    чи      conj:coord:subord  0
може	могти   verb:unknown (adv) 0
блондинку блондинка noun:f:v_zna:anim  3
жіночку	жіночка  noun:f:v_zna:anim  -1
років	рік      noun:p:v_rod  0
Вона	вона    pron:pers:f:3:v_naz:anim  0
кричала	кричати verb:past:f:imperf  -43
прямо	прямо   adv:compb  0
мені	я       pron:pers:s:1:v_dav:anim  5
в	    в       prep:rv_zna:v-u  0
лице	лице    noun:n:v_zna   2
Я	    я       pron:pers:s:1:v_naz:anim  15
нічого	ніщо    pron:neg:v_zna  -3
не	    не      part  -8
розуміла розуміти verb:past:f:imperf  -3
(       -       - 0
ранок	ранок   noun:m:v_naz  3
і	    і       conj:coord   0
нестача	нестача noun:f:v_naz  -36
кави	кава    noun:f:v_rod  21
все-таки все-таки part:v-u  0
Жінка	жінка   noun:f:v_naz:anim  7
як	    як      conj:subord  0
недорізана	недорізаний adjp:pasv:past:f:v_naz  -47
прокричала	прокричати  verb:past:f:perf  -41
мені	 я       pron:pers:s:1:v_dav:anim  2
що	     що      conj:subord   0
вони	вони     pron:pers:p:3:v_naz:anim  0
закриті	закритий adjp:pasv:past:p:v_naz:compb -4
Але	     але     conj:coord   0
ж	    ж        conj:coord  0
охоронець охоронець noun:m:v_naz:anim  3
мені	я        pron:pers:s:1:v_dav:anim  3
сказав	сказати  verb:past:m:perf  3
що	    що      conj:subord  0
ви	    ви      pron:pers:p:2:v_naz:anim  0
відкриті відкритий adjp:pasv:past:p:v_naz:compb 17
сонно	сонно    adv  -3
заперечувала заперечувати verb:past:f:imperf  -8
я	    я        pron:pers:s:1:v_naz:anim 4
Я	    я        pron:pers:s:1:v_naz:anim 4
думав   думати   verb:past:m:imperf  3
ви	    ви       pron:pers:p:2:v_naz:anim 0
тут 	тут      adv:&pron:dem  0
працюєте працювати verb:pres:p:2:imperf  10
зі	     зі       prep:rv_oru 0
своїми	 свій     adj:p:v_oru:&pron:pos  5
поясненнями	пояснення noun:p:v_oru  -5
охоронець	охоронець noun:m:v_naz:anim  5
Я	     я         pron:pers:s:1:v_naz:anim 4
просто	просто     adv:compb   0
звідти	звідти     adv:&pron:dem  -3
З	     з         prep:rv_rod:rv_zna:rv_oru 0
самого	самий      adj:m:v_rod  0
ранку	ранок      noun:m:v_rod  -10
і	    і          part   0
вже 	вже        adv:v-u  0
пруть	перти      verb:pres:p:3:imperf  -39
почула	почути     verb:past:f:perf  -8
я	    я          pron:pers:s:1:v_naz:anim  6
у	    у          prep:rv_zna:v-u  0
свою	свій       adj:f:v_zna:&pron:pos  10
спину	спина      noun:f:v_zna  0
голос	голос      noun:m:v_zna  3
недолугої	недолугий  adj:f:v_rod  -38
працівниці	працівниця noun:f:v_rod:anim   3
чи	     чи         conj:coord:subord   0
може	могти       verb:unknown (adv) 0
власниці власниця   noun:f:v_rod:anim  9
кафе	кафе        noun:n:v_rod:nv  28
Я	    я           pron:pers:s:1:v_naz:anim  12
НІКОЛИ	ніколи      adv:&pron:neg  -35
не	    не          part  -17
буду	бути        verb:futr:s:1:imperf  3
